Victoria (Ajah),joining from uk,2
Damilola (Ikeja),Thank u for organizing this,5
Precious G.,just delivered,7
Faith P.,Good evening,8
Ashley (Asaba),Let's go,9
Yani A.,Facebook brought me here,10
Ogechi K.,will there be a replay?,16
Prisca Y.,sound perfect,18
Rebecca D.,Benin city active,22
Yinka (Apapa),Hello from Abuja,25
Kemi W.,Audio is good,27
Zarah M.,We r waiting,28
Faith L.,Start start,29
Stella T.,warri no dey carry last,33
Remi Y.,My doctor recommended this,36
Nafisat F.,Abuja is in the building,38
Xara P.,Video na clear,39
Dammy T.,I'm here,41
Aderonke H.,Oya lets go,45
Uju W.,Abuja na in the building,50
Veronica W.,saw this on instagram,51
Simi S.,Just delivered,52
Kudirat F.,I'm here,53
Iyabo M.,Present,54
Kudirat A.,Start start,55
Ify O.,I hope network allows me,57
Ify B.,I can hear u,60
Valerie L.,I can hear u,65
Chioma (Dallas),start start,66
Wuraola S.,Port Harcourt present,67
Fadekemi A.,Port Harcourt present,73
Vimi (Epe),We are ready,76
Ayra K.,We dey here,77
Peace (Apapa),Hi mummies,80
Ibiwari U.,present,82
Folashade A.,Loud and clear,83
Wuraola E.,Amen,86
Kehinde D.,TTC,90
Ugomma Y.,ttc,90
Bilkis (Ikorodu),ngozi from lekki,90
Amaka U.,due next week,91
Yemi C.,Due next week,91
Remi V.,First Trimester,92
Efe I.,just delivered,92
Martha P.,Abuja Planning,93
Juliet (Magodo),third trimester,93
Rachel B.,Due in July,93
Tosin D.,Due in June,93
Yemi C.,Due next week,94
Philomena T.,aisha from kano,94
Amaka Y.,Tired but here,94
Tolulope C.,20 weeks,94
Sarah M.,First Trimester,94
Megan (Victoria Island),Due in May,94
Loveth (Apapa),Watching from work,95
Patience Y.,ph 3rd trimester,95
Favour V.,Ngozi from Lekki,95
Yemi U.,First Trimester,96
Zainab (Onitsha),esther from ikeja,96
Aderonke (Lugbe),20 weeks,97
Queen V.,38 weeks,97
Tolu F.,Exhausted but ready,97
Ugomma U.,Due in May,97
Jumoke O.,Due in July,97
Folashade R.,Tired but here,97
Ufuoma M.,Abuja Planning,98
Megan M.,PH 3rd Trimester,98
Kiki E.,Esther from Ikeja,100
Ejiro C.,Tired but here,100
Toyin H.,38 weeks,100
Queen P.,tired but here,101
Victoria (Surulere),Ngozi from Lekki,101
Idara R.,Preparing,101
Adetola S.,aisha from kano,101
Seyi D.,Third Trimester,101
Victoria (Surulere),Ngozi from Lekki,102
Shola S.,Just delivered,102
Hadiza J.,Secretly watching at work lol,102
Rosemary L.,esther from ikeja,103
Bukola P.,"ph, 3rd trimester",103
Aisha R.,Planning,103
Mimi B.,joining from uk,103
Bunmi (Lugbe),38 weeks,103
Nini S.,Due in May,103
Esther D.,third trimester,104
Miriam S.,"Abuja, Planning",104
Bilkis A.,Exhausted but ready,104
Kemi C.,38 weeks,104
Soso H.,12 weeks,104
Remi B.,due in july,104
Bukola P.,"ph, 3rd trimester",105
Chidinma O.,Exhausted but ready,105
Victoria N.,First Trimester,105
Sade C.,"Abuja, Planning",106
Omotola N.,Due in June,106
Vimi I.,Third Trimester,106
Yemi J.,Joining from my bed lol,106
Jessica P.,Tired but here,106
Precious H.,due in july,108
Yemi (Chicago),ttc,108
Amanda (Utako),Joining from UK,108
Kiki (Asokoro),Due next week,108
Ifeoma G.,ttc,109
Josephine J.,ngozi from lekki,109
Yani B.,12 weeks,109
Vimi (Dallas),Due in May,109
Valerie H.,"Lagos, 2nd Trimester",110
Damilola A.,due in july,110
Sade U.,aisha from kano,111
Soso C.,"Abuja, Planning",111
Ayra (Abeokuta),20 weeks,111
Jennifer (Chicago),Exhausted but ready,111
Valerie M.,12 weeks,111
Rebecca (Zaria),tired but here,111
Sarah E.,"Abuja, Planning",112
Lilian H.,first trimester,112
Valerie V.,Secretly watching at work lol,112
Bosede O.,"PH, 3rd Trimester",112
Simi G.,exhausted but ready,112
Jennifer D.,Joining from UK,114
Lisa (Dublin),Due in May,114
Abosede (Maitama),just delivered,114
Kemi K.,"Lagos, 2nd Trimester",114
Yetunde W.,20 weeks,114
Queen P.,esther from ikeja,114
Doris K.,Tired but here,115
Vivian W.,planning,115
Jennifer D.,Joining from UK,116
Nneka H.,due in july,117
Yewande S.,Second Trimester,117
Eniola F.,preparing,118
Rachel A.,12 weeks,118
Wuraola (Ogudu),"lagos, 2nd trimester",119
Amanda F.,ngozi from lekki,119
Rita R.,Joining from my bed lol,119
Wunmi G.,"PH, 3rd Trimester",120
Bolalanle H.,Joining from my bed lol,120
Chioma L.,secretly watching at work lol,120
Lolo K.,due next week,120
Victoria (Port Harcourt),Esther from Ikeja,120
Uju (Warri),Exhausted but ready,120
Ada H.,12 weeks,123
Chidinma W.,TTC,123
Deborah W.,Secretly watching at work lol,123
Chiwendu (Mushin),Second Trimester,123
Vivian C.,exhausted but ready,123
Deborah W.,Secretly watching at work lol,124
Waje (Uyo),ph 3rd trimester,124
Hadiza S.,Watching from work,124
Abosede K.,20 weeks,124
Maryam E.,38 weeks,124
Yemi E.,Second Trimester,124
Chiwendu (Mushin),Second Trimester,125
Ashley K.,Ngozi from Lekki,125
Mercy O.,Ngozi from Lekki,125
Abosede W.,"Abuja, Planning",125
Abigail (Ajah),joining from my bed lol,125
Wuraola B.,Exhausted but ready,126
Deborah P.,"abuja, planning",126
Peace (Ogudu),TTC,126
Hauwa W.,due next week,127
Ijeoma O.,Due in July,127
Juliet B.,Tired but here,127
Lara U.,due in may,127
Soso W.,Watching from work,127
Victoria O.,20 weeks,128
Stella I.,Due in May,128
Uche J.,Watching from work,128
Mojisola M.,20 weeks,129
Omotola (New York),Due in July,129
Toyin R.,esther from ikeja,129
Tolulope H.,due in june,129
Chiwendu (Isolo),"PH, 3rd Trimester",130
Yemisi E.,due in may,130
Jennifer Y.,TTC,130
Toyin O.,Tired but here,131
Ogechi C.,due in may,131
Funke (Ibadan),Due in May,131
Mimi U.,20 weeks,131
Ejiro N.,"abuja, planning",132
Jessica T.,ngozi from lekki,132
Lola S.,second trimester,132
Ayra J.,"Lagos, 2nd Trimester",132
Lola S.,second trimester,133
Tosin Y.,ngozi from lekki,133
Uzo (Victoria Island),due next week,133
Jessica D.,Tired but here,136
Grace T.,Second Trimester,136
Remi P.,12 weeks,136
Loveth (Atlanta),ngozi from lekki,137
Kikelomo F.,esther from ikeja,137
Megan R.,aisha from kano,137
Nse N.,joining from my bed lol,137
Peace B.,Esther from Ikeja,137
Rita V.,Abuja Planning,137
Chiwendu M.,"PH, 3rd Trimester",138
Iyabo (Mushin),exhausted but ready,138
Yewande (Zaria),joining from my bed lol,139
Ify M.,TTC,139
Vivian G.,joining from my bed lol,139
Maryam B.,planning,140
Sefinat B.,Due in May,140
Tolulope N.,12 weeks,141
Ibiwari K.,ttc,141
Hope A.,12 weeks,141
Modupe (Benin City),Second Trimester,142
Hadiza (Apapa),Joining from my bed lol,142
Mary G.,aisha from kano,142
Sefinat B.,Due in May,143
Funke H.,12 weeks,143
Bukola M.,12 weeks,143
Sandra V.,Planning,143
Loveth F.,esther from ikeja,144
Favour Y.,second trimester,144
Ibiwari J.,First Trimester,144
Folashade O.,First Trimester,144
Modupe V.,Due in June,144
Chioma O.,Second Trimester,146
Beatrice O.,20 weeks,146
Rosemary L.,"abuja, planning",146
Philomena P.,Planning,146
Folashade U.,12 weeks,146
Amanda I.,Due next week,146
Zainab Y.,Due in June,147
Winifred U.,Ngozi from Lekki,147
Nkechi V.,Just delivered,147
Mimi B.,Exhausted but ready,147
Waje B.,ph 3rd trimester,147
Rachel V.,third trimester,147
Uju N.,First Trimester,148
