Helen K.,enugu active,2
Juliet W.,Education,2
Megan P.,alright,2
Kikelomo E.,gud pm,2
Jumoke H.,deep,3
Omotola B.,Listening,3
Rachel W.,Check your audio,3
Joy I.,I want triplets,3
Wimi (Garki),will there be a replay?,3
Gladys H.,go on,3
Zainab H.,I was almost late,4
Megan H.,finally i made it,4
Wuraola (Lagos),First time mom here,4
Yemi K.,Writing,7
Victoria J.,Video is clear,7
Lilian L.,we can hear,8
Omawumi Y.,I can hear,8
Simi Z.,can hear you clearly,10
Bilkis Y.,Learning,10
Faith V.,Just delivered,10
Tina G.,Second time mom here,10
Uju N.,Audio check 1 2,10
Simi G.,Yes wec an hear,11
Taiwo D.,Please save d live,11
Faith G.,Focus,13
Linda (Manchester),Pregnant and ready,13
Linda (Lekki),Welcome everyone,13
Pelu M.,Lagos in the house,14
Soso X.,Loud n clear,14
Lola H.,Music isn ice,14
Yemisi W.,Love the background,14
Hannah L.,Hello ladies,15
Justina I.,Ekale o,15
Ene X.,Go on,16
Rosemary F.,gud 2 go,16
Josephine W.,i can hear yu loud,16
Tiwa (Kubwa),abuja is in the building,16
Ufuoma O.,Amen,17
Wimi G.,I can hear you loud,17
Damilola B.,Lets start,18
Bolalanle X.,we are ready,18
Ene L.,hoping for a safe delivery,18
Uzo K.,pregnant and ready,19
Ngozi N.,joining from uk,19
Gladys T.,Team Girl,22
Olivia V.,Audio perfect,22
Titi Q.,Hello mamas,22
Chidinma E.,Listening,22
Jumoke S.,sound perfect,22
Bilkis S.,loud ,24
Kehinde C.,Amen o,24
Chiwendu U.,Cant hear,24
Jumoke T.,Interesting,25
Eniola G.,Glad to be here,25
Funke C.,Start start,25
Mojisola X.,Lagos in the house,25
Onyinye S.,good evening,26
Kiki (Ogudu),Abuja is in the building,26
Chika I.,Is it starting soon?,26
Amaka (Atlanta),wat did I miss?,26
Wendy M.,Good pm,27
Yetunde T.,pena nd paper ready,27
Nneoma B.,God do it for me,27
Elizabeth H.,I want triplets,27
Halima K.,My friend sent me the link,27
Joy K.,biko save d live,27
Victoria (Dubai),Noted,28
Remi F.,Hi sisters,28
Soso (Gbagada),Okay,28
Adeola E.,sound na okay,28
Chika H.,present,28
Chika M.,Video na clear,30
Bilkis D.,is it starting soon?,30
Rosemary J.,Greetings from PH,30
Elizabeth R.,first trimester gang,30
Modupe E.,loud and clear,30
Ganiyat B.,Replay biko,32
Xara L.,Music is nice,32
Tosin P.,Checking in,32
Abosede R.,We are with you,34
Bisi O.,We r ready,34
Doris (Mushin),Hoping for twins,34
Paulina P.,Postpartum gang,34
Yetunde S.,Loud and clear,35
Taiwo N.,Yes we can hear,35
Victoria R.,loud n clear,35
Patience T.,aSnnu,35
Stella R.,I can hear,35
Doris Z.,thrive mom,35
Bosede X.,Hey guys,37
Faith A.,I can hear u loud,37
Florence X.,safe delivery for all of us,38
Iyabo (Ajah),Check your audio,38
Miriam G.,Start start,38
Faith C.,can see you,39
Fatima X.,okay ma,39
Jumai Q.,okay ma,39
Soso U.,Everything gud,39
Ifeoma J.,just delivered,39
Idara G.,I'm here,39
Toke L.,TTC gang,40
Ngozi R.,Wow,40
Winifred Y.,hi mrs luther,40
Gladys O.,good pm,40
Grace (Port Harcourt),First time mom here,40
Olamide J.,Log out and in,41
Precious (Asaba),Sound is fine here,41
Veronica (New York),Pregnant and ready,41
Remi A.,Thank you for organizing this,41
Dammy Y.,can hear u claerly,41
Kikelomo E.,Network is fluctuating but I m here,44
Titi Y.,So true,44
